# ID: 7a0fb476e638a180b46f62001c89e8651b4f70fe45a64e2eae71d1b99a0f0300
# Names: ["/cool_wescoff"]
# Command: bash -c '
    echo __1; date +%s%N;
    sleep 2s;
    echo __2; date +%s%N;
    apt-get update;
    echo __3; date +%s%N;
    sleep 2s;
    echo __4; date +%s%N;
    DEBIAN_FRONTEND=noninteractive apt-get install -y tree stress wget;
    echo __5; date +%s%N;
    sleep 2s;
    echo __6; date +%s%N;
    tree;
    echo __7; date +%s%N;
    sleep 2s;
    echo __8; date +%s%N;
    stress --cpu 8 --io 4 --vm 4 --vm-bytes 1024M --timeout 10s;
    echo __9; date +%s%N;
    sleep 2s;
    echo __A; date +%s%N;
    wget "http://ipv4.download.thinkbroadband.com/10MB.zip";
    echo __B; date +%s%N;
    sleep 2s
    echo __C; date +%s%N;
'
# Image: ubuntu
# Status: Up Less than a second
# Labels: {}
# Ports: []
# Created: 2020-03-22 06:20:46 UTC
# Size: None
# Root FS Size: None
# Poll time: 1584858047142385276
# Initialized at: 1584858047167097270
read,pids.current,pids.max,cpu.usage.total,cpu.usage.system,cpu.usage.user,cpu.usage.percpu,cpuacct.stat.user,cpuacct.stat.system,cpu.throttling.periods,cpu.throttling.throttled,cpu.throttling.throttled_time
1584858047167244488,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047215011443,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047263098034,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047311187137,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047359298463,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047407343449,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047455409887,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047503473343,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047551583973,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047599649826,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047647785908,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047695850394,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047743955965,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047792037932,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047840086525,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047888168256,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
1584858047936249655,2,max,161557207,0,161557207,816263 985184 0 8628973 2882495 1712274 146263804 268214,14,0,0,0,0
